time,ID_PRODUCTO,COD_CLIENTE,FECHA_REAL,VALOR_VENTA,VALOR_FINANCIADO
0,4279473,226276, 29/03/2015,1200000,0
0,643027,614031, 29/03/2015,1000000,0
0,643027,614031, 29/03/2015,140000,1140000
82,3227610,623779, 19/06/2015,1118000,1118000
82,3241411,523979, 19/06/2015,180000,0
82,3241411,523979, 19/06/2015,513732,673732
83,4309016,122852, 20/06/2015,880000,0
83,4309016,122852, 20/06/2015,640000,1520000
72,4297817,224470, 09/06/2015,429000,0
72,4297817,224470, 09/06/2015,462000,891000
83,3895508,238259, 20/06/2015,429000,0
83,3895508,238259, 20/06/2015,462000,891000
85,4308915,516645, 22/06/2015,1550000,1550000
90,4313093,120896, 27/06/2015,355650,0
90,4313093,120896, 27/06/2015,1144350,1500000
96,4314673,815011, 03/07/2015,1000000,1000000
97,3926143,512220, 04/07/2015,490000,490000
99,4316057,210029, 06/07/2015,505999,0
99,4316057,210029, 06/07/2015,470001,976000
102,599971,214231, 09/07/2015,1500000,1500000
103,3775475,476893, 10/07/2015,1289688,1289688
103,554050,538465, 10/07/2015,1061961,0
103,554050,538465, 10/07/2015,538039,1600000
103,4314456,814884, 10/07/2015,744000,744000
102,3052530,380039, 09/07/2015,1040000,860000
104,3572681,479463, 11/07/2015,1179000,1179000
104,3971465,504578, 11/07/2015,843000,843000
106,4307520,440207, 13/07/2015,994000,994000
107,3055951,276962, 14/07/2015,1600000,1600000
108,598747,612841, 15/07/2015,1600000,1600000
107,4319308,240914, 14/07/2015,770000,0
107,4319308,240914, 14/07/2015,730000,1500001
103,4320186,350173, 10/07/2015,1470000,1470000
110,4320214,199712, 17/07/2015,682000,682000
110,4320363,81250, 17/07/2015,387000,387000
111,4009360,507500, 18/07/2015,1850000,1600000
111,4321049,103078, 18/07/2015,577000,577000
114,4321049,103078, 21/07/2015,203500,203500
114,4321562,69692, 21/07/2015,423000,423000
114,4321567,63466, 21/07/2015,411000,411000
116,4294834,342263, 23/07/2015,1118000,1118000
116,4322559,361587, 23/07/2015,1250000,1250000
116,3129922,554413, 23/07/2015,550000,463000
116,599594,546810, 23/07/2015,1368000,1368000
116,4323207,614601, 23/07/2015,1232965,1232965
116,4323206,194372, 23/07/2015,1129402,1129402
116,4323209,430466, 23/07/2015,1354160,1354160
117,4323234,58232, 24/07/2015,860000,860000
117,4323262,487002, 24/07/2015,1350000,1350000
117,4323434,330627, 24/07/2015,1000000,0
117,4323434,330627, 24/07/2015,500000,1500000
117,4136608,220712, 24/07/2015,640000,442000
117,4323562,420983, 24/07/2015,1500000,1500000
115,4323962,618089, 22/07/2015,778999,0
115,4323962,618089, 22/07/2015,635001,1414000
115,3515228,275132, 22/07/2015,313000,313000
120,4325154,79223, 27/07/2015,560000,560000
120,4325424,448670, 27/07/2015,1340000,1340000
121,4325504,534643, 28/07/2015,1500000,1500000
121,3223514,183877, 28/07/2015,700000,600000
115,3498913,474410, 22/07/2015,260000,260000
122,4148843,335464, 29/07/2015,303000,303000
122,3114458,389022, 29/07/2015,841000,841000
122,4320214,199712, 29/07/2015,799000,799000
122,4326118,190199, 29/07/2015,849999,0
122,4326118,190199, 29/07/2015,250001,1100000
123,3162744,357130, 30/07/2015,751800,751800
123,3029284,365778, 30/07/2015,826000,826000
123,4098525,223052, 30/07/2015,650794,650794
123,4326382,232097, 30/07/2015,1500000,1500000
123,3027400,366089, 30/07/2015,850000,850000
123,4326563,167566, 30/07/2015,1500000,1500000
123,4326603,494292, 30/07/2015,892218,892218
124,4326632,546667, 31/07/2015,542000,542000
124,3588113,486563, 31/07/2015,1128156,1128156
124,4207310,217484, 31/07/2015,1600000,1600000
124,4327364,96675, 31/07/2015,1050346,0
124,4327364,96675, 31/07/2015,249654,1300000
124,4327367,825983, 31/07/2015,789000,789000
125,4233940,582303, 01/08/2015,1271435,1271435
125,3253965,581782, 01/08/2015,391200,391200
127,3227171,491566, 03/08/2015,735600,735600
127,4327871,204525, 03/08/2015,1200000,1200000
127,4330944,441630, 03/08/2015,500000,500000
128,3134695,440887, 04/08/2015,1817392,1817392
128,591189,612121, 04/08/2015,1078000,1078000
128,4328285,468415, 04/08/2015,1500000,1500000
129,4327372,530103, 05/08/2015,460000,460000
129,4328483,130202, 05/08/2015,618000,0
129,4328483,130202, 05/08/2015,448000,1066000
129,4328519,147516, 05/08/2015,250000,250000
129,3204781,481630, 05/08/2015,1261000,1261000
128,4328561,294126, 04/08/2015,1159000,0
128,4328561,294126, 04/08/2015,618000,1600000
129,3689244,449739, 05/08/2015,922449,922449
129,4151774,332469, 05/08/2015,594000,594000
129,4328828,535624, 05/08/2015,1600000,1600000
125,4328932,350450, 01/08/2015,567000,567000
130,3593484,477290, 06/08/2015,1569360,1569360
130,551336,593207, 06/08/2015,432000,432000
130,551336,593207, 06/08/2015,713000,713000
127,4329126,480015, 03/08/2015,1200000,0
127,4329126,480015, 03/08/2015,223000,1423000
128,4329139,473373, 04/08/2015,1400000,1400000
130,3570331,426209, 06/08/2015,1129000,1129000
131,3201367,519673, 07/08/2015,78000,78000
131,3939524,542446, 07/08/2015,830000,608365
132,4329351,826819, 08/08/2015,1500000,1500000
132,4329352,442957, 08/08/2015,850000,850000
132,4329356,100220, 08/08/2015,1000000,1000000
132,4329357,69926, 08/08/2015,1000000,1000000
132,4329359,58089, 08/08/2015,1000000,1000000
132,596903,512091, 08/08/2015,1079327,1079327
132,3034445,383228, 08/08/2015,470000,470000
129,4122219,184210, 05/08/2015,189000,189000
132,4329511,338448, 08/08/2015,1177925,1177925
133,4329518,99722, 09/08/2015,1000000,1000000
129,4329599,827739, 05/08/2015,1200000,0
129,4329599,827739, 05/08/2015,470000,1500000
119,3778633,244098, 26/07/2015,687000,687000
129,4329738,459456, 05/08/2015,597000,0
129,4329738,459456, 05/08/2015,735000,1332000
118,4329755,829225, 25/07/2015,429000,0
118,4329755,829225, 25/07/2015,473298,902297
134,3556017,504641, 10/08/2015,1530209,1530209
134,569223,593424, 10/08/2015,543780,543780
135,4330047,442573, 11/08/2015,1600000,1600000
135,4298305,225989, 11/08/2015,292000,292000
129,4330105,830687, 05/08/2015,1200000,1200000
128,4330112,473373, 04/08/2015,1500000,1500000
135,4330144,92332, 11/08/2015,680000,680000
135,560626,505799, 11/08/2015,1300000,1300000
134,4330225,205879, 10/08/2015,1200000,0
134,4330225,205879, 10/08/2015,300000,1500000
135,3756038,531931, 11/08/2015,1299000,1299000
127,3206369,216808, 03/08/2015,879000,879000
135,4330318,829972, 11/08/2015,1000000,1000000
135,4330321,531412, 11/08/2015,1500000,1500000
134,3217428,272401, 10/08/2015,962000,862000
135,4295018,104129, 11/08/2015,984066,984066
135,4330343,96691, 11/08/2015,870000,870000
135,4330344,97951, 11/08/2015,445000,445000
136,3569569,559389, 12/08/2015,300000,300000
136,3670455,458405, 12/08/2015,1525724,1525724
136,4328894,105491, 12/08/2015,805000,805000
136,4330580,511837, 12/08/2015,170400,0
136,4330580,511837, 12/08/2015,170400,0
136,4330580,511837, 12/08/2015,170400,0
136,4330580,511837, 12/08/2015,170400,0
136,4330580,511837, 12/08/2015,170400,0
136,4330580,511837, 12/08/2015,170400,0
136,4330580,511837, 12/08/2015,170400,0
136,4330580,511837, 12/08/2015,170400,0
136,4330580,511837, 12/08/2015,170400,0
136,4330580,511837, 12/08/2015,170400,1700000
135,4099907,201719, 11/08/2015,1236000,1236000
132,4330634,484377, 08/08/2015,970000,970000
136,4330640,511419, 12/08/2015,1650000,1600000
136,4027703,530169, 12/08/2015,1009000,1009000
136,574964,593773, 12/08/2015,1591000,0
136,574964,593773, 12/08/2015,180000,1700000
136,600900,189630, 12/08/2015,1100000,1100000
137,4330900,256188, 13/08/2015,335000,335000
137,4330921,795678, 13/08/2015,520000,520000
137,4330954,177426, 13/08/2015,1199999,1199999
137,4331008,494686, 13/08/2015,809127,809127
137,3271612,542934, 13/08/2015,529000,529000
137,4286715,434315, 13/08/2015,314000,314000
137,3026268,509155, 13/08/2015,750000,750000
137,4131388,470401, 13/08/2015,500001,500001
137,4331279,340834, 13/08/2015,740000,740000
138,4331344,830649, 14/08/2015,1000000,1000000
138,4331345,830656, 14/08/2015,755000,755000
138,4331346,830754, 14/08/2015,1200000,1200000
138,4331347,632534, 14/08/2015,1500000,1500000
138,4331348,830757, 14/08/2015,1500000,1500000
138,4331349,691036, 14/08/2015,1000000,1000000
