"fecha_dato","ncodpers","ind_empleado","pais_residencia","sexo","age","fecha_alta","ind_nuevo","antiguedad","indrel","ult_fec_cli_1t","indrel_1mes","tiprel_1mes","indresi","indext","conyuemp","canal_entrada","indfall","tipodom","cod_prov","nomprov","ind_actividad_cliente","renta","segmento","ind_ahor_fin_ult1","ind_aval_fin_ult1","ind_cco_fin_ult1","ind_cder_fin_ult1","ind_cno_fin_ult1","ind_ctju_fin_ult1","ind_ctma_fin_ult1","ind_ctop_fin_ult1","ind_ctpp_fin_ult1","ind_deco_fin_ult1","ind_deme_fin_ult1","ind_dela_fin_ult1","ind_ecue_fin_ult1","ind_fond_fin_ult1","ind_hip_fin_ult1","ind_plan_fin_ult1","ind_pres_fin_ult1","ind_reca_fin_ult1","ind_tjcr_fin_ult1","ind_valo_fin_ult1","ind_viv_fin_ult1","ind_nomina_ult1","ind_nom_pens_ult1","ind_recibo_ult1"
"2015-01-28","1063538","N","ES","V"," 23","2012-09-20"," 0","     34"," 1","","1.0","I","S","N","","KHE","N"," 1","28","\"MADRID\""," 0","","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1019296","N","ES","H"," 40","2012-06-11"," 0","     37"," 1","","1.0","I","S","S","","KFC","N"," 1","28","\"MADRID\""," 0","62124.3","02 - PARTICULARES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"," 0"," 0","0"
"2015-01-28","1060672","N","ES","H"," 23","2012-09-14"," 0","     34"," 1","","1.0","I","S","N","","KHE","N"," 1","52","\"MELILLA\""," 0","82621.70999999999","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1042646","N","ES","V"," 28","2012-08-03"," 0","     35"," 1","","1.0","I","S","N","","KHE","N"," 1"," 8","\"BARCELONA\""," 0","140354.58000000002","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1019630","N","ES","H"," 82","2012-06-14"," 0","     37"," 1","","1.0","I","S","N","","KAT","N"," 1","33","\"ASTURIAS\""," 0","260884.02","02 - PARTICULARES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1025385","N","ES","V"," 23","2012-07-19"," 0","     36"," 1","","1.0","I","S","N","","KHE","N"," 1","41","\"SEVILLA\""," 0","","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1067254","N","ES","H"," 23","2012-09-25"," 0","     34"," 1","","1","I","S","N","","KHE","N"," 1"," 5","\"AVILA\""," 1","68561.61","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1019071","N","ES","V"," 41","2012-06-07"," 0","     37"," 1","","1.0","I","S","N","","KAZ","N"," 1"," 8","\"BARCELONA\""," 0","44832.87","02 - PARTICULARES","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1021905","N","ES","V"," 40","2012-07-03"," 0","     36"," 1","","1","A","S","N","","KFC","N"," 1","29","\"MALAGA\""," 1","135600.3","02 - PARTICULARES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"," 0"," 0","1"
"2015-01-28","1063967","N","ES","H"," 23","2012-09-20"," 0","     34"," 1","","1.0","I","S","N","","KHE","N"," 1","10","\"CACERES\""," 0","56970.15","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1058279","N","ES","V"," 31","2012-09-11"," 0","     34"," 1","","1","A","S","N","","KFC","N"," 1"," 6","\"BADAJOZ\""," 1","48929.22","02 - PARTICULARES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1042549","N","ES","H"," 28","2012-08-03"," 0","     35"," 1","","1.0","I","S","S","","KHE","N"," 1","50","\"ZARAGOZA\""," 1","","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1048455","N","ES","H"," 25","2012-08-09"," 0","     35"," 1","","1.0","I","S","N","","KHE","N"," 1","12","\"CASTELLON\""," 0","","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1016568","N","ES","V"," 54","2012-05-18"," 0","     38"," 1","","1.0","A","S","N","","KFC","N"," 1","28","\"MADRID\""," 1","71827.86","02 - PARTICULARES","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1046876","N","ES","H"," 43","2012-08-08"," 0","     35"," 1","","1","A","S","N","","KHE","N"," 1","46","\"VALENCIA\""," 0","41382.0","02 - PARTICULARES","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1054428","N","ES","V"," 31","2012-08-28"," 0","     35"," 1","","1.0","A","S","N","","KFC","N"," 1","28","\"MADRID\""," 1","63679.23","02 - PARTICULARES","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1046177","N","ES","H"," 23","2012-08-07"," 0","     35"," 1","","1","I","S","N","","KHE","N"," 1"," 8","\"BARCELONA\""," 0","60283.89","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1063800","N","ES","H"," 46","2012-09-20"," 0","     34"," 1","","1","I","S","N","","KAT","N"," 1"," 8","\"BARCELONA\""," 0","102928.59","02 - PARTICULARES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1017776","N","ES","V"," 65","2012-05-29"," 0","     38"," 1","","1.0","A","S","S","","KFC","N"," 1","29","\"MALAGA\""," 1","197798.46","02 - PARTICULARES","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"," 0"," 0","1"
"2015-01-28","1046581","N","ES","V"," 33","2012-08-07"," 0","     35"," 1","","1","I","S","S","","KHE","N"," 1"," 8","\"BARCELONA\""," 0","261228.93","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1050172","N","ES","H"," 28","2012-08-10"," 0","     35"," 1","","1","I","S","N","","KHE","N"," 1","46","\"VALENCIA\""," 0","100036.47","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1059529","N","ES","V"," 23","2012-09-13"," 0","     34"," 1","","1.0","I","S","N","","KHE","N"," 1","10","\"CACERES\""," 0","115100.28","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1027226","N","ES","H"," 23","2012-07-20"," 0","     36"," 1","","1","I","S","N","","KHE","N"," 1","17","\"GIRONA\""," 0","","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1045306","N","ES","H"," 23","2012-08-07"," 0","     35"," 1","","1.0","I","S","N","","KHE","N"," 1","17","\"GIRONA\""," 0","101876.34","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1067134","N","ES","H"," 23","2012-09-25"," 0","     34"," 1","","1","I","S","N","","KHE","N"," 1","41","\"SEVILLA\""," 0","58642.68000000001","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1063107","N","ES","V"," 27","2012-09-19"," 0","     34"," 1","","1","I","S","N","","KHE","N"," 1","30","\"MURCIA\""," 0","","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1027436","N","ES","H"," 23","2012-07-20"," 0","     36"," 1","","1.0","A","S","N","","KHE","N"," 1","13","\"CIUDAD REAL\""," 1","97377.96","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1065373","N","ES","V"," 24","2012-09-24"," 0","     34"," 1","","1.0","I","S","N","","KHE","N"," 1","50","\"ZARAGOZA\""," 0","39110.19","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1027205","N","ES","H"," 23","2012-07-20"," 0","     36"," 1","","1","A","S","N","","KHE","N"," 1","36","\"PONTEVEDRA\""," 1","","03 - UNIVERSITARIO","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 0"," 0","0"
"2015-01-28","1018023","N","ES","V"," 34","2012-05-30"," 0","     38"," 1","","1.0","A","S","N","","KAT","N"," 1","28","\"MADRID\""," 1","54428.28","02 - PARTICULARES","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"," 1"," 1","1"
