fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,es_nuevo_cliente,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,segmento,es_hombre,es_cliente_activo,es_cliente_extranjero,canal_KHE,canal_KFC,canal_KHD,canal_KAT,canal_KFA,canal_KAZ,canal_KHC,canal_KHK,canal_RED,provincia_MADRID,provincia_BARCELONA,provincia_PONTEVEDRA,provincia_SEVILLA,provincia_VALENCIA,provincia_MALAGA,provincia_MURCIA,provincia_ZARAGOZA,provincia_CADIZ,provincia_BADAJOZ,provincia_ALICANTE,provincia_CASTELLON,provincia_HUELVA,provincia_SALAMANCA,provincia_CORDOBA,provincia_TOLEDO,provincia_CACERES,provincia_VALLADOLID,provincia_LERIDA,provincia_CANTABRIA,provincia_OURENSE,provincia_LUGO,provincia_GIRONA,provincia_ALBACETE,provincia_CIUDAD_REAL,provincia_ASTURIAS,provincia_BURGOS,provincia_GRANADA,provincia_TARRAGONA,provincia_CUENCA,provincia_ZAMORA,provincia_NAVARRA,provincia_LEON,provincia_HUESCA,provincia_BIZKAIA,provincia_PALENCIA,provincia_JAEN,provincia_AVILA,provincia_SEGOVIA,provincia_ALMERIA,provincia_SANTA_CRUZ_DE_TENERIFE,provincia_GUADALAJARA,provincia_TERUEL,provincia_GIPUZKOA,provincia_SORIA,provincia_ALAVA,provincia_MELILLA,provincia_CEUTA,es_universitario,es_particular,es_top,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,ind_ctju_fin_ult1,ind_ctma_fin_ult1,ind_ctop_fin_ult1,ind_ctpp_fin_ult1,ind_deco_fin_ult1,ind_deme_fin_ult1,ind_dela_fin_ult1,ind_ecue_fin_ult1,ind_fond_fin_ult1,ind_hip_fin_ult1,ind_plan_fin_ult1,ind_pres_fin_ult1,ind_reca_fin_ult1,ind_tjcr_fin_ult1,ind_valo_fin_ult1,ind_viv_fin_ult1,ind_nomina_ult1,ind_nom_pens_ult1,ind_recibo_ult1
"2015-01-28","1067748","N","ES","H"," 23","2012-09-26"," 0","     34"," 1","","1","I","S","N","","KHE","N"," 1"," 6","\"BADAJOZ\""," 0","65075.19","03 - UNIVERSITARIO","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-01-28","1023749","N","ES","V"," 26","2012-07-17"," 0","     36"," 1","","1.0","I","S","N","","KHE","N"," 1","33","\"ASTURIAS\""," 0","137188.08000000002","03 - UNIVERSITARIO","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-01-28","1022020","N","ES","H"," 39","2012-07-04"," 0","     36"," 1","","1","A","S","S","","KFC","N"," 1","46","\"VALENCIA\""," 1","139244.37","02 - PARTICULARES","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2015-01-28","1060683","N","ES","H"," 24","2012-09-14"," 0","     34"," 1","","1.0","I","S","N","","KHE","N"," 1","37","\"SALAMANCA\""," 0","","03 - UNIVERSITARIO","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-01-28","1066823","N","ES","V"," 26","2012-09-25"," 0","     34"," 1","","1","I","S","N","","KHE","N"," 1","29","\"MALAGA\""," 0","","03 - UNIVERSITARIO","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-01-28","1024645","N","ES","V"," 24","2012-07-18"," 0","     36"," 1","","1","A","S","N","","KHE","N"," 1","43","\"TARRAGONA\""," 1","102884.25","03 - UNIVERSITARIO","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-01-28","1067175","N","ES","H"," 23","2012-09-25"," 0","     34"," 1","","1","I","S","N","","KHE","N"," 1"," 3","\"ALICANTE\""," 0","","03 - UNIVERSITARIO","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-01-28","1064035","N","ES","H"," 25","2012-09-20"," 0","     34"," 1","","1.0","I","S","N","","KHE","N"," 1","14","\"CORDOBA\""," 0","111295.08","03 - UNIVERSITARIO","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-01-28","1037535","N","ES","V"," 28","2012-07-31"," 0","     36"," 1","","1.0","A","S","N","","KFC","N"," 1","50","\"ZARAGOZA\""," 1","98940.63","03 - UNIVERSITARIO","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2015-01-28","1047280","N","ES","V"," 23","2012-08-08"," 0","     35"," 1","","1.0","I","S","N","","KHE","N"," 1"," 8","\"BARCELONA\""," 0","264015.66000000003","03 - UNIVERSITARIO","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
